date, pm25
21/5/2023,102
22/5/2023,103
23/5/2023,94
24/5/2023,83
25/5/2023,90
26/5/2023,90
27/5/2023,77
28/5/2023,83
29/5/2023,78
30/5/2023,68
31/5/2023,60
1/6/2023,62
2/6/2023,68
3/6/2023,78
4/6/2023,68
5/6/2023,57
6/6/2023,55
7/6/2023,53
8/6/2023,52
9/6/2023,69
10/6/2023,64
11/6/2023,73
12/6/2023,61
13/6/2023,58
14/6/2023,62
15/6/2023,62
16/6/2023,67
17/6/2023,60
18/6/2023,53
19/6/2023,49
20/6/2023,50
21/6/2023,46
22/6/2023,48
23/6/2023,51
24/6/2023,51
25/6/2023,49
26/6/2023,52
27/6/2023,49
28/6/2023,56
29/6/2023,48
30/6/2023,53
2/1/2023,80
3/1/2023,79
4/1/2023,75
5/1/2023,75
6/1/2023,66
7/1/2023,68
8/1/2023,93
9/1/2023,95
10/1/2023,87
11/1/2023,87
12/1/2023,91
13/1/2023,83
14/1/2023,80
15/1/2023,88
16/1/2023,107
17/1/2023,109
18/1/2023,127
19/1/2023,129
20/1/2023,110
21/1/2023,106
22/1/2023,109
23/1/2023,107
24/1/2023,117
25/1/2023,131
26/1/2023,139
27/1/2023,145
28/1/2023,141
29/1/2023,135
30/1/2023,110
31/1/2023,132
1/2/2023,154
2/2/2023,157
3/2/2023,160
4/2/2023,161
5/2/2023,146
6/2/2023,93
7/2/2023,85
8/2/2023,96
9/2/2023,133
10/2/2023,118
11/2/2023,124
12/2/2023,131
13/2/2023,151
14/2/2023,160
15/2/2023,183
16/2/2023,139
17/2/2023,67
18/2/2023,63
19/2/2023,69
20/2/2023,115
21/2/2023,152
22/2/2023,150
23/2/2023,154
24/2/2023,121
25/2/2023,154
26/2/2023,147
27/2/2023,153
28/2/2023,161
1/3/2023,170
2/3/2023,168
3/3/2023,175
4/3/2023,174
5/3/2023,169
6/3/2023,165
7/3/2023,168
8/3/2023,169
9/3/2023,168
10/3/2023,175
11/3/2023,175
12/3/2023,182
13/3/2023,150
14/3/2023,139
15/3/2023,138
16/3/2023,134
17/3/2023,113
18/3/2023,131
19/3/2023,140
20/3/2023,119
